Name,Address,State,City,Phone,Email,PPN
A M Medical Centre Pvt. Ltd,97a  Southern Avenue (Opp Lake Stadium),West Bengal,Kolkata,9230060270,TPA@AMMEDICALCENTRE.IN,Yes
Amulya Jyoti Eye Foundation,105  Manoharpukur Road,West Bengal,Kolkata,9874696340,amulyajyoti@gmail.com,Yes
Arogya Maternity And Nursing Home,No 71  Toolygunge Circular Road  (New Alipore Sital Sadan Compound),West Bengal,Kolkata,24000681,arogya.1180@yahoo.com,Yes
Asg Hospital Pvt Ltd,70/2 Deshpran Shasmal Rd Tollygunge Kolkata,West Bengal,Kolkata,0,CLAIMS@ASGEYEHOSPITAL.COM,Yes
B P Poddar Hospital And Medical Research Ltd,71/1  Humayun Kabir Srani  New Alipore  Block-G  Kolkata,West Bengal,Kolkata,9051099006,TPABPPODDAR@GMAIL.COM,Yes
Calcutta Lions Netra Niketan,18/2/A/2  Uday Sankar Sarani  Golf Green,West Bengal,Kolkata,033 - 24224637 / 24735009,Netraniketan@yahoo.co.in,Yes
Debdoot Sevayan,51  Charu Avenue,West Bengal,Kolkata,24241509,CASHLESS.DEBDOOTSEVAYAN@GMAIL.COM,Yes
Fortis Hospitals Ltd,# 111-A  Rashbehari Avenue,West Bengal,Kolkata,9051453556,fhki.tpa@fortishealthcare.com,Yes
Microlap Hospital,24  Bepin Pal Road  Kolkatta,West Bengal,Kolkata,9830273329,microlap@rediffmail.com,Yes
Mohan Clinic,46  Lake Temple Road,West Bengal,Kolkata,033 - 24655841 / 24658225,mohanclinic1@gmail.com,Yes
Probal Eye Institute,34  Satish Mukherjee Road Kalighat Tram Depot,West Bengal,Kolkata,33-24641210/24642782,datta_vivek@rediffmail.com,Yes
Rsv Hospital Private Limited,40 Deshpran Sasmal Road  Kolkata,West Bengal,Kolkata,9903999659,tpadepartment.rsv@gmail.com,Yes
Silverline Eye Hospital,396  Prince Anwar Shah Road,West Bengal,Kolkata,33-24720836/24736940,silverline34@gmail.com,Yes
